# x, y, theta, s
16.4381, 18.8891, -1.52596, 148.5
16.4508, 18.5894, -1.53063, 148.8
16.4622, 18.2896, -1.53538, 149.1
16.4721, 17.9897, -1.54017, 149.4
16.4805, 17.6898, -1.54501, 149.7
16.4875, 17.3899, -1.5499, 150
16.4931, 17.09, -1.55484, 150.3
16.4971, 16.79, -1.55982, 150.6
16.4996, 16.49, -1.56484, 150.9
16.5007, 16.19, -1.56988, 151.2
16.5002, 15.89, -1.57494, 151.5
16.4982, 15.59, -1.58003, 151.8
16.4947, 15.29, -1.58515, 152.1
16.4896, 14.99, -1.59028, 152.4
16.483, 14.6901, -1.59542, 152.7
16.4748, 14.3902, -1.60056, 153
16.4651, 14.0903, -1.60571, 153.3
16.4539, 13.7905, -1.61087, 153.6
16.4411, 13.4908, -1.61603, 153.9
16.4267, 13.1911, -1.62119, 154.2
16.4108, 12.8915, -1.62634, 154.5
16.3934, 12.592, -1.63147, 154.8
16.3745, 12.2926, -1.6366, 155.1
16.354, 11.9933, -1.64173, 155.4
16.3319, 11.6941, -1.64683, 155.7
16.3084, 11.395, -1.65192, 156
16.2833, 11.0961, -1.657, 156.3
16.2567, 10.7972, -1.66205, 156.6
16.2286, 10.4985, -1.66708, 156.9
16.199, 10.2, -1.6721, 157.2
16.168, 9.90159, -1.67709, 157.5
16.1354, 9.60335, -1.68205, 157.8
16.1013, 9.30528, -1.68698, 158.1
16.0658, 9.00738, -1.69187, 158.4
16.0289, 8.70965, -1.69674, 158.7
15.9905, 8.41211, -1.70157, 159
15.9506, 8.11475, -1.70638, 159.3
15.9094, 7.81759, -1.71117, 159.6
15.8667, 7.52063, -1.71593, 159.9
15.8226, 7.22388, -1.72067, 160.2
15.7771, 6.92733, -1.72539, 160.5
15.7302, 6.63101, -1.73009, 160.8
15.6819, 6.33491, -1.73476, 161.1
15.6323, 6.03904, -1.73936, 161.4
15.5813, 5.7434, -1.74388, 161.7
15.5289, 5.44799, -1.74833, 162
15.4753, 5.15281, -1.7527, 162.3
15.4204, 4.85787, -1.757, 162.6
15.3642, 4.56316, -1.76122, 162.9
15.3068, 4.26868, -1.76542, 163.2
15.2482, 3.97445, -1.76971, 163.5
15.1883, 3.68048, -1.77411, 163.8
15.127, 3.38678, -1.7786, 164.1
15.0645, 3.09336, -1.78319, 164.4
15.0005, 2.80025, -1.78789, 164.7
14.9352, 2.50744, -1.79268, 165
14.8685, 2.21495, -1.7972, 165.3
14.8007, 1.92273, -1.80047, 165.6
14.732, 1.63068, -1.80246, 165.9
14.663, 1.33872, -1.80316, 166.2
