# x, y, z, theta, kappa, s, qx, qy, qz, qw
9.07278, 44.4093, -0.280734, -0.958307, -0.0231519, 120.36, 0.00804086, 0.00995548, -0.46085, 0.887386
9.2683, 44.1087, -0.289195, -0.963086, -0.00992481, 120.96, 0.0136921, 0.0132267, -0.462756, 0.886281
9.47376, 43.7904, -0.299381, -0.963906, -0.00121885, 121.56, 0.0218839, 0.0146395, -0.462762, 0.886091
9.69166, 43.453, -0.288246, -0.961513, 0.00418037, 122.16, 0.0252163, 0.0237338, -0.461152, 0.886645
9.92707, 43.0905, -0.29406, -0.955632, 0.00714127, 122.76, 0.0126316, 0.0367198, -0.458198, 0.888001
10.1848, 42.7017, -0.344023, -0.948945, 0.00839865, 123.36, 0.0108228, 0.0498501, -0.454013, 0.889534
10.4643, 42.2889, -0.391748, -0.941788, 0.0102157, 123.96, 0.00771402, 0.0578036, -0.44992, 0.891163
10.7652, 41.8542, -0.430942, -0.933787, -0.00190938, 124.56, 0.00386117, 0.0491881, -0.447402, 0.892971
11.0871, 41.4, -0.488179, -0.932556, -0.0149254, 125.16, -0.00916142, 0.0423117, -0.447475, 0.893248
11.425, 40.9275, -0.533579, -0.939268, -0.0254409, 125.76, -0.0135364, 0.0454044, -0.450073, 0.891734
11.7721, 40.4377, -0.587735, -0.952725, -0.0344838, 126.36, -0.020364, 0.0359134, -0.456688, 0.888669
12.1219, 39.9323, -0.639862, -0.972281, -0.0418076, 126.96, -0.0301243, 0.0350162, -0.464928, 0.884143
12.4683, 39.4127, -0.71526, -0.997011, -0.0475067, 127.56, -0.0314619, 0.0376567, -0.475589, 0.878298
12.8056, 38.8806, -0.761094, -1.02573, -0.0516591, 128.16, -0.0383387, 0.0263365, -0.488466, 0.871342
13.1295, 38.3376, -0.814481, -1.05729, -0.0543777, 128.76, -0.0454379, 0.020458, -0.501897, 0.863491
13.4367, 37.7852, -0.873636, -1.09075, -0.0557573, 129.36, -0.0463518, 0.0181948, -0.516344, 0.854932
13.725, 37.225, -0.907475, -1.12506, -0.0559702, 129.96, -0.0525595, 0.0206491, -0.530329, 0.845909
13.9932, 36.6582, -0.961701, -1.15943, -0.0551613, 130.56, -0.0554721, 0.0278689, -0.544255, 0.83662
14.2408, 36.086, -1.01511, -1.19322, -0.0534765, 131.16, -0.0567582, 0.0264691, -0.558342, 0.827244
14.4679, 35.5095, -1.05944, -1.22579, -0.0510972, 131.76, -0.0584055, 0.026344, -0.571659, 0.817986
14.6753, 34.9293, -1.12366, -1.25679, -0.0481458, 132.36, -0.0601459, 0.031932, -0.58389, 0.808971
14.8638, 34.3464, -1.16286, -1.28584, -0.0448044, 132.96, -0.062498, 0.000888478, -0.596269, 0.800348
15.0348, 33.7611, -1.16089, -1.31277, -0.0412183, 133.56, -0.0617266, -0.000601421, -0.607125, 0.792205
15.1895, 33.174, -1.1937, -1.33743, -0.0375278, 134.16, -0.0471442, 0.0279668, -0.617551, 0.784618
15.3294, 32.5854, -1.21957, -1.3598, -0.0338493, 134.76, -0.0361575, 0.0302947, -0.626945, 0.777634
